"REF_DATE","GEO","DGUID","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A11124","Total demand","Recreation and entertainment","Dollars","81","millions","6","v1001801238","1.2.24","4885.9","","","","1"
"2014","Canada","2016A11124","Total demand","Travel services","Dollars","81","millions","6","v1001801239","1.2.25","4256.1","","","","1"
"2014","Canada","2016A11124","Total demand","Convention fees","Dollars","81","millions","6","v1001801240","1.2.26","715.2","","","","1"
"2014","Canada","2016A11124","Total demand","Pre-trip expenses","Dollars","81","millions","6","v1001801241","1.2.27","3975.8","","","","1"
"2014","Canada","2016A11124","Total demand","Total other products","Dollars","81","millions","6","v1001801233","1.2.28","13521.8","","","","1"
"2014","Canada","2016A11124","Total demand","Groceries","Dollars","81","millions","6","v1001801234","1.2.29","4519.5","","","","1"
"2014","Canada","2016A11124","Total demand","Beer, wine, and liquor from stores","Dollars","81","millions","6","v1001801235","1.2.30","936.8","","","","1"
"2014","Canada","2016A11124","Total demand","Urban transit and parking","Dollars","81","millions","6","v1001801236","1.2.31","223.9","","","","1"
"2014","Canada","2016A11124","Total demand","Miscellaneous products","Dollars","81","millions","6","v1001801237","1.2.32","7841.6","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total tourism expenditures","Dollars","81","millions","6","v1001801242","1.3.1","51912.1","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total tourism products","Dollars","81","millions","6","v1001801243","1.3.2","43343.7","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total transportation","Dollars","81","millions","6","v1001801244","1.3.3","21293.1","","","","1"
"2014","Canada","2016A11124","Domestic demand","Passenger air transport","Dollars","81","millions","6","v1001801245","1.3.4","9313.2","","","","1"
"2014","Canada","2016A11124","Domestic demand","Passenger rail transport","Dollars","81","millions","6","v1001801246","1.3.5","191.6","","","","1"
"2014","Canada","2016A11124","Domestic demand","Passenger water transport","Dollars","81","millions","6","v1001801247","1.3.6","213.6","","","","1"
"2014","Canada","2016A11124","Domestic demand","Interurban, charter and tour bus transport","Dollars","81","millions","6","v1001801248","1.3.7","379.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Taxis","Dollars","81","millions","6","v1001801249","1.3.8","276.2","","","","1"
"2014","Canada","2016A11124","Domestic demand","Vehicle rental","Dollars","81","millions","6","v1001801250","1.3.9","249.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Vehicle repairs and parts","Dollars","81","millions","6","v1001801251","1.3.10","3736.6","","","","1"
"2014","Canada","2016A11124","Domestic demand","Vehicle fuel","Dollars","81","millions","6","v1001801252","1.3.11","6933.1","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total accommodation","Dollars","81","millions","6","v1001801253","1.3.12","4342.3","","","","1"
"2014","Canada","2016A11124","Domestic demand","Hotels","Dollars","81","millions","6","v1001801254","1.3.13","3102.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Motels","Dollars","81","millions","6","v1001801255","1.3.14","334.8","","","","1"
"2014","Canada","2016A11124","Domestic demand","Camping","Dollars","81","millions","6","v1001801256","1.3.15","649.2","","","","1"
"2014","Canada","2016A11124","Domestic demand","Other accommodation","Dollars","81","millions","6","v1001801257","1.3.16","255.9","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total food and beverage services","Dollars","81","millions","6","v1001801258","1.3.17","7993.0","","","","1"
"2014","Canada","2016A11124","Domestic demand","Meals from accommodation","Dollars","81","millions","6","v1001801259","1.3.18","380.6","","","","1"
"2014","Canada","2016A11124","Domestic demand","Meals from restaurants","Dollars","81","millions","6","v1001801260","1.3.19","6006.3","","","","1"
"2014","Canada","2016A11124","Domestic demand","Alcoholic beverages from accommodation","Dollars","81","millions","6","v1001801261","1.3.20","204.8","","","","1"
"2014","Canada","2016A11124","Domestic demand","Alcoholic beverages from restaurants","Dollars","81","millions","6","v1001801262","1.3.21","998.0","","","","1"
"2014","Canada","2016A11124","Domestic demand","Meals and alcoholic beverages from other tourism industries","Dollars","81","millions","6","v1001801263","1.3.22","403.3","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total other tourism products","Dollars","81","millions","6","v1001801264","1.3.23","9715.3","","","","1"
"2014","Canada","2016A11124","Domestic demand","Recreation and entertainment","Dollars","81","millions","6","v1001801270","1.3.24","2737.9","","","","1"
"2014","Canada","2016A11124","Domestic demand","Travel services","Dollars","81","millions","6","v1001801271","1.3.25","2561.8","","","","1"
"2014","Canada","2016A11124","Domestic demand","Convention fees","Dollars","81","millions","6","v1001801272","1.3.26","439.8","","","","1"
"2014","Canada","2016A11124","Domestic demand","Pre-trip expenses","Dollars","81","millions","6","v1001801273","1.3.27","3975.8","","","","1"
"2014","Canada","2016A11124","Domestic demand","Total other products","Dollars","81","millions","6","v1001801265","1.3.28","8568.4","","","","1"
"2014","Canada","2016A11124","Domestic demand","Groceries","Dollars","81","millions","6","v1001801266","1.3.29","2942.7","","","","1"
